place_id,name,city,region,address,lat,lng,vibe,crowd,good_for,temp_class,has_stay,duration_class,budget,season,drive_time_from_blr_min,photo_urls,short_summary,maps_query
magnolia-bakery,Magnolia Bakery,Bengaluru,Karnataka,"J.K. Plaza, 788, 12th Main Rd, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008, India",12.9700721,77.6407854,quiet|retro,high,couples|solo|groups,temperate,false,few-hours,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Bakery in Bengaluru — rated 4.3★ across 8,386 Google reviews","Magnolia Bakery, Bengaluru"
truffles-indiranagar,Truffles - Indiranagar,Bengaluru,Karnataka,"Ground Floor, K. P Square, 307, 100 Feet Rd, Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India",12.9807271,77.64052130000002,lively,high,couples|groups|family,temperate,false,half-day,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,https://lh3.googleusercontent.com/place-photos/AJRVUZMPvlb073jjP2lNoZd-OZ6cf9PVzao--TZQEggKaCJSFivDA3AnncK3LcwLViaJgUXmhIY0Bt34smuCuoEeTuS180NOw8V1d0UTYgtUQmFxWteO-uOLj6iOUj0OdOE_dOirij3NRwd1lRI8nXA=s4800-w1200|https://lh3.googleusercontent.com/place-photos/AJRVUZMNyzUZZysRBu3NCqbQEN_g7qs9uccjQnS51bGVUY-f2Zt-tNhitHk6lm_sPLzLmwwQmr8baNOijgWqeTP6NQ4Eyt2EwNbrJ937P7vPWnsMEH1Kpj3oIzGwnO2fEnWj-J04o_4duN1IhzU4LZI=s4800-w1200|https://lh3.googleusercontent.com/place-photos/AJRVUZM3OzuS38LwbAEv_HqLOTrR7ri483IDmvKJl-ngvTzkuUdJw7wPeq7vMyFckvMC1-RadpXprIPOxvgT2E9MZWarSXr7jPEv-oueJ8jQz3bWcAe042x5sOpVvWncEqj48NpURT6yTbT1VP7GriMaGgyuug=s4800-w1200,"American Restaurant in Bengaluru — rated 4.5★ across 20,674 Google reviews","Truffles - Indiranagar, Bengaluru"
neon-market,Neon Market,Bengaluru,Karnataka,"3798, 7th Main Rd, Motappapalya, Indiranagar, Bengaluru, Karnataka 560008, India",12.9727388,77.63979669999999,lively,high,couples|groups|family,temperate,false,half-day,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,https://lh3.googleusercontent.com/places/ANXAkqFiUcw8m9pwPRNH5G8K6ALaBOk6Wa-ds8Gx72Hnk89VdKpP1ya_0eU5RRBcG7pMlFp_ApYvq9n3VCQOA-0o95zr11YmDrF1d3g=s4800-w1200|https://lh3.googleusercontent.com/places/ANXAkqEihXo5iz8mjYa1__XLcGYZT1buh85MJPuSO1vE7z4mJuHLvgoWuI3uWozMg5_RNNfAEM_RQdFdF9RAFX2GSEplyNQ8VXcggu0=s4800-w1200|https://lh3.googleusercontent.com/place-photos/AJRVUZNQovdtU6dad4SagQXCxar2WOdDBNNK9l52la3iXjNVcrPkNViHJtvILPTzBFRVqNYI8qH4KXiMsyY1xpllxB_mkNurGnvaClj1C8-Vof4fHKtjg0RS1sjuROFlBI3cM10g6bXW9-9OgonoTYHIwRyqHw=s4800-w1200,"Ramen Restaurant in Bengaluru — rated 4.8★ across 7,905 Google reviews","Neon Market, Bengaluru"
paper-pie,Paper & Pie,Bengaluru,Karnataka,"Metro Pillar Number 55, 842/A, 100 Feet Rd, Indira Nagar 1st Stage, H Colony, Indiranagar, Bengaluru, Karnataka 560038, India",12.9810313,77.6409712,quiet|retro,medium,couples|solo|groups,temperate,false,few-hours,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Coffee Shop in Bengaluru — rated 4.2★ across 1,809 Google reviews","Paper & Pie, Bengaluru"
lavonne-café,Lavonne Café,Bengaluru,Karnataka,"263, 3rd Cross Rd, 2nd Stage, Defence Colony, Domlur, Bengaluru, Karnataka 560071, India",12.966849499999999,77.6368682,quiet|retro,medium,couples|solo|groups,temperate,false,few-hours,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Cafe in Bengaluru — rated 4.4★ across 3,000 Google reviews","Lavonne Café, Bengaluru"
conçu-indiranagar,Conçu Indiranagar,Bengaluru,Karnataka,"1089/A, 12th Main Rd, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008, India",12.969869899999999,77.6379279,quiet|retro,medium,couples|solo|groups,temperate,false,few-hours,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Cafe in Bengaluru — rated 4.2★ across 1,468 Google reviews","Conçu Indiranagar, Bengaluru"
araku-coffee,ARAKU Coffee,Bengaluru,Karnataka,"968, 12th Main Rd, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008, India",12.969946499999999,77.6391732,quiet|retro,medium,couples|solo|groups,temperate,false,few-hours,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Coffee Shop in Bengaluru — rated 4.1★ across 2,500 Google reviews","ARAKU Coffee, Bengaluru"
glens-bakehouse,Glens Bakehouse,Bengaluru,Karnataka,"297, 100 Feet Rd, near Toit Pub, 2nd Stage, Indira Nagar II Stage, Stage 2, Indiranagar, Bengaluru, Karnataka 560038, India",12.9791429,77.6406209,lively,high,couples|groups|family,temperate,false,half-day,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,https://lh3.googleusercontent.com/place-photos/AJRVUZN3bItsg2F8IiHlf-ycmW8WMggm5nWG00KWyH9idqGTfJGw36DU8UN6pi-Eh3goeQl3wkQlIG4UEDZV5xY4o_KYdFMnN6Y_CU8g_ShYN85m1qIJzeMvbZZdjhtbMnrPVc3JUq6lvsuSr2MGkog=s4800-w1200|https://lh3.googleusercontent.com/places/ANXAkqGipxnYxYHRwvt2b9TV_gq4yboVqf3yueJNdc168mzujlwCo-i5gAzpVIvsI89NTOsZ02OQqesFySUG_k6YQuUxbZm1xwH4D04=s4800-w1200|https://lh3.googleusercontent.com/place-photos/AJRVUZOLy8GFKeABYXHmdhL1LPDGSiTLGPNobXh_RnL_mrDxA4cgKtK3UHeqA4E6n8yRuWncfTht702Hs_bvq9igyYGGSsFxhsaGwa9PsBlS_9l7ogAW19j4RBqp8K9-1fAm3NXMeWi3Yb_knlWl2QczqX6t=s4800-w1200,"Restaurant in Bengaluru — rated 4.3★ across 14,228 Google reviews","Glens Bakehouse, Bengaluru"
the-hole-in-the-wall,The Hole In The Wall,Bengaluru,Karnataka,"2823, 80 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",12.9675336,77.6479384,quiet|retro,medium,couples|solo|groups,temperate,false,few-hours,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Cafe in Bengaluru — rated 4.1★ across 1,366 Google reviews","The Hole In The Wall, Bengaluru"
the-kind-roastery-and-brew-room-indiranagar,The Kind Roastery and Brew Room Indiranagar,Bengaluru,Karnataka,"2985, 12th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",12.9701071,77.6447307,lively,medium,couples|groups|family,temperate,false,half-day,2,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,0,,"Restaurant in Bengaluru — rated 4.3★ across 1,153 Google reviews","The Kind Roastery and Brew Room Indiranagar, Bengaluru"
