place_id,name,city,region,address,lat,lng,vibe,crowd,good_for,temp_class,has_stay,duration_class,budget,season,drive_time_from_blr_min,photo_urls,short_summary,maps_query
cubbon-park,Cubbon Park,Bengaluru,BLR-Central,"Kasturba Rd, Bengaluru, Karnataka 560001",12.9763,77.5929,"scenic|quiet",low,"couples|solo|family",temperate,false,few-hours,1,"Jan|Feb|Jun|Jul|Aug|Sep|Oct|Nov|Dec",0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Cubbon_Park_Bangalore.jpg/1280px-Cubbon_Park_Bangalore.jpg,"Sprawling colonial-era park in central Bengaluru, perfect for an early-morning walk or a quiet couple stroll under the rain trees.","Cubbon Park, Bengaluru"
toit-indiranagar,Toit Brewpub,Bengaluru,BLR-East,"298, 100 Feet Rd, Indiranagar, Bengaluru, Karnataka 560038",12.9719,77.6412,"lively|retro",high,"groups|couples",temperate,false,half-day,3,"Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec",0,https://images.unsplash.com/photo-1546726747-421c6d69c929,"Bengaluru's most iconic brewpub — woody interiors, in-house lagers, classic pub food, and a permanent buzz on weekends.","Toit Brewpub, Indiranagar, Bengaluru"
nandi-hills,Nandi Hills,Nandi Hills,BLR-Outskirts,"Nandi Hills, Karnataka 562103",13.3702,77.6835,"scenic|quiet",medium,"couples|solo|adventure",cool,false,half-day,1,"Jan|Feb|Jun|Jul|Aug|Sep|Oct|Nov|Dec",90,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Nandi_Hills_Sunrise.jpg/1280px-Nandi_Hills_Sunrise.jpg,"~60km north of Bengaluru — a popular sunrise drive with mist-soaked viewpoints, an ancient fort, and Tipu's lodge at the top.","Nandi Hills, Karnataka"
coorg,Coorg (Madikeri),Madikeri,Coorg,"Madikeri, Karnataka 571201",12.4244,75.7382,"scenic|quiet|offbeat",low,"couples|family|solo",cool,true,weekend,3,"Jan|Feb|Mar|Sep|Oct|Nov|Dec",330,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,"Coffee-plantation country in Karnataka's Western Ghats — homestays among misty hills, Abbey Falls, Raja's Seat sunsets, ~5.5h from BLR.","Madikeri, Coorg, Karnataka"
chikmagalur,Chikmagalur,Chikmagalur,Chikmagalur,"Chikmagalur, Karnataka 577101",13.3161,75.7720,"scenic|offbeat|adventure",low,"couples|solo|adventure|groups",cool,true,weekend,3,"Jan|Feb|Sep|Oct|Nov|Dec",260,https://images.unsplash.com/photo-1596397249129-c7a8f8718873,"Birthplace of Indian coffee — rolling estates, Mullayanagiri (Karnataka's tallest peak), and quiet plantation stays. ~4h drive.","Chikmagalur, Karnataka"
sakleshpur,Sakleshpur,Sakleshpur,Sakleshpur,"Sakleshpur, Karnataka 573134",12.9407,75.7866,"scenic|adventure",low,"groups|adventure|couples",cool,true,weekend,3,"Jun|Jul|Aug|Sep|Oct|Nov",240,https://images.unsplash.com/photo-1518709594023-6eab9bab7b23,"Lush Western Ghats town famous for trekking, the Bisle Ghat viewpoint, and railway-bridge walks — ~4h from BLR, peaks during monsoon.","Sakleshpur, Karnataka"
ooty,Ooty,Ooty,Tamil-Nadu,"Ooty, Tamil Nadu 643001",11.4064,76.6932,"scenic|retro",medium,"couples|family|groups",cool,true,weekend,2,"Jan|Feb|Mar|Apr|Sep|Oct|Nov|Dec",460,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Ooty_Lake.jpg/1280px-Ooty_Lake.jpg,"Classic Nilgiris hill station — toy train, Botanical Garden, Ooty Lake. Cooler year-round; ~7-8h drive or overnight bus.","Ooty, Tamil Nadu"
yelagiri,Yelagiri,Yelagiri,Tamil-Nadu,"Yelagiri, Tamil Nadu 635853",12.5773,78.6354,"quiet|scenic|offbeat",low,"couples|family|solo",cool,true,full-day,2,"Jan|Feb|Mar|Sep|Oct|Nov|Dec",230,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Yelagiri_View.jpg/1280px-Yelagiri_View.jpg,"Quiet, lesser-crowded hill station ~3.5h east of BLR — Punganur Lake, Swamimalai trek, and laid-back homestays.","Yelagiri, Tamil Nadu"
mysore-palace,Mysore Palace,Mysuru,Mysuru,"Sayyaji Rao Rd, Mysuru, Karnataka 570001",12.3052,76.6552,"scenic|retro",high,"family|couples|groups",temperate,false,full-day,1,"Jan|Feb|Mar|Sep|Oct|Nov|Dec",170,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Mysore_Palace_Front_view.jpg/1280px-Mysore_Palace_Front_view.jpg,"Iconic Indo-Saracenic palace — illuminated stunningly on Sundays and during Dasara. Pair with Chamundi Hills for a full day.","Mysore Palace, Mysuru"
skandagiri,Skandagiri,Skandagiri,BLR-Outskirts,"Skandagiri, Karnataka 562103",13.4584,77.7800,"adventure|scenic",medium,"adventure|groups|solo",cool,false,half-day,1,"Oct|Nov|Dec|Jan|Feb",100,https://images.unsplash.com/photo-1502154299022-c2c4dec1bd0c,"Pre-dawn trek hill ~70km from BLR — clouds-below-you sunrises if you start by 3am. Permits required; daytime trekking only currently.","Skandagiri, Karnataka"
